"","Country area or territory","Surveillance site type","Year-week (ISO 8601 calendar)","Week start date (ISO 8601 calendar)","Specimen tested","Influenza positive","Influenza negative","A (H1)","A (H1N1)pdm09","A (H3)","A not subtyped","B (Victoria)","B (Yamagata)","B (lineage not determined)"
"1","India","Non-sentinel","2021-32",2021-08-09,2767,382,2385,NA,34,339,NA,9,NA,NA
"2","India","Non-sentinel","2021-33",2021-08-16,3436,476,2960,NA,31,429,NA,16,NA,NA
"3","India","Non-sentinel","2021-34",2021-08-23,2154,371,1783,NA,21,326,NA,24,NA,NA
"4","India","Non-sentinel","2021-35",2021-08-30,2438,373,2065,NA,18,288,NA,67,NA,NA
"5","India","Non-sentinel","2021-36",2021-09-06,2492,335,2157,NA,4,180,NA,144,NA,7
"6","India","Non-sentinel","2021-37",2021-09-13,1991,233,1758,NA,11,88,NA,117,NA,17
"7","India","Non-sentinel","2021-38",2021-09-20,3088,321,2767,NA,5,96,NA,204,NA,16
"8","India","Non-sentinel","2021-39",2021-09-27,2752,335,2417,NA,3,67,NA,263,NA,2
"9","India","Non-sentinel","2021-40",2021-10-04,2509,255,2254,NA,4,24,NA,208,NA,19
"10","India","Non-sentinel","2021-41",2021-10-11,2005,197,1808,NA,2,19,NA,166,NA,10
"11","India","Non-sentinel","2021-42",2021-10-18,2194,165,2029,NA,NA,6,NA,139,NA,20
"12","India","Non-sentinel","2021-43",2021-10-25,2020,114,1906,NA,NA,4,NA,98,NA,12
"13","India","Non-sentinel","2021-44",2021-11-01,1631,47,1584,NA,NA,1,NA,40,NA,6
"14","India","Non-sentinel","2021-45",2021-11-08,903,14,889,NA,NA,NA,NA,11,NA,3
"15","India","Non-sentinel","2021-46",2021-11-15,1830,28,1802,NA,NA,NA,NA,18,NA,10
"16","India","Non-sentinel","2021-47",2021-11-22,1144,16,1128,NA,1,1,NA,3,NA,11
"17","India","Non-sentinel","2021-48",2021-11-29,987,10,977,NA,1,NA,NA,8,NA,1
"18","India","Non-sentinel","2021-49",2021-12-06,1577,19,1558,NA,3,3,NA,2,NA,11
"19","India","Non-sentinel","2021-50",2021-12-13,837,2,835,NA,NA,NA,NA,2,NA,NA
"20","India","Non-sentinel","2021-51",2021-12-20,2404,4,2400,NA,NA,1,NA,NA,NA,3
